6.528690 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 19 not found 
6.528698 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:19
6.528702 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 19 not found 
6.528706 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:19
6.528709 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 20 not found 
6.528717 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:20
6.528721 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 20 not found 
6.528728 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:20
6.528732 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 20 not found 
6.528736 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:20
6.528744 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 21 not found 
6.528748 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:21
6.528755 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 21 not found 
6.528759 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:21
6.528763 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 21 not found 
6.528767 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:21
6.528774 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 22 not found 
6.528778 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:22
6.528786 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 22 not found 
6.528790 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:22
6.528797 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 22 not found 
6.528801 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:22
6.528809 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 23 not found 
6.528812 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:23
6.528820 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 23 not found 
6.528824 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:23
6.528828 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 23 not found 
6.528831 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:23
6.528858 [mod=WIFI, lvl=ERROR] [tid=817] WIFI rdkGetIndexFromName : pIfaceName :  is not found
6.528862 [mod=WIFI, lvl=ERROR] [tid=817] WIFI CosaDmlWiFiApGetCfg : Couldn't find wlanIndex from IfName 
6.528881 [mod=WIFI, lvl=INFO] [tid=817] rbuscore.c:2340 RBus Enabled

