6.347645 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:14
6.347652 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 15 not found 
6.347656 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:15
6.347668 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 15 not found 
6.347672 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:15
6.347675 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 15 not found 
6.347679 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:15
6.347687 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 16 not found 
6.347691 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:16
6.347698 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 16 not found 
6.347706 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:16
6.347710 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 16 not found 
6.347717 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:16
6.347721 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 17 not found 
6.347729 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:17
6.347736 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 17 not found 
6.347740 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:17
6.347748 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 17 not found 
6.347752 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:17
6.347759 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 18 not found 
6.347763 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:18
6.347771 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 18 not found 
6.347775 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:18
6.347782 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 18 not found 
6.347786 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:18
6.347794 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 19 not found 
6.347797 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:19
6.347805 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 19 not found 
6.347809 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:19
6.347816 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 19 not found 
6.347820 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:19
6.347828 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 20 not found 
6.347832 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:20
6.347839 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 20 not found 
6.347843 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:20
6.347851 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 20 not found 
6.347855 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:20
6.347862 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 21 not found 
6.347866 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:21
6.347874 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 21 not found 
